date,close,open,high,low
-307445400,55.540001,55.540001,55.540001,55.540001
-307359000,55.369999,55.369999,55.369999,55.369999
-307272600,56.509998,56.509998,56.509998,56.509998
-307186200,56.52,56.52,56.52,56.52
-307099800,56.389999,56.389999,56.389999,56.389999
-306840600,56.169998,56.169998,56.169998,56.169998
-306754200,56.299999,56.299999,56.299999,56.299999
-306667800,56.299999,56.299999,56.299999,56.299999
-306581400,56.43,56.43,56.43,56.43
-306235800,56.59,56.59,56.59,56.59
-306149400,56.130001,56.130001,56.130001,56.130001
-306063000,55.439999,55.439999,55.439999,55.439999
-305976600,55.59,55.59,55.59,55.59
-305890200,55.419998,55.419998,55.419998,55.419998
-305634600,54.860001,54.860001,54.860001,54.860001
-305548200,55.040001,55.040001,55.040001,55.040001
-305461800,55.040001,55.040001,55.040001,55.040001
-305375400,54.560001,54.560001,54.560001,54.560001
-305289000,54.369999,54.369999,54.369999,54.369999
-305029800,54.130001,54.130001,54.130001,54.130001
-304943400,54.830002,54.830002,54.830002,54.830002
-304857000,55.040001,55.040001,55.040001,55.040001
-304770600,54.860001,54.860001,54.860001,54.860001
-304684200,54.75,54.75,54.75,54.75
-304425000,54.799999,54.799999,54.799999,54.799999
-304338600,54.419998,54.419998,54.419998,54.419998
-304252200,54.57,54.57,54.57,54.57
-304165800,54.849998,54.849998,54.849998,54.849998
-304079400,55.299999,55.299999,55.299999,55.299999
-303820200,55.25,55.25,55.25,55.25
-303733800,55.459999,55.459999,55.459999,55.459999
-303647400,55.439999,55.439999,55.439999,55.439999
-303561000,55.68,55.68,55.68,55.68
-303474600,55.73,55.73,55.73,55.73
-303215400,55.759998,55.759998,55.759998,55.759998
-303129000,55.700001,55.700001,55.700001,55.700001
-303042600,55.669998,55.669998,55.669998,55.669998
-302956200,55.709999,55.709999,55.709999,55.709999
-302869800,55.740002,55.740002,55.740002,55.740002
-302524200,55.830002,55.830002,55.830002,55.830002
-302437800,55.889999,55.889999,55.889999,55.889999
-302351400,56.130001,56.130001,56.130001,56.130001
-302265000,56.23,56.23,56.23,56.23
-302005800,56.889999,56.889999,56.889999,56.889999
-301919400,57.43,57.43,57.43,57.43
-301833000,57.889999,57.889999,57.889999,57.889999
-301746600,58,58,58,58
-301660200,57.970001,57.970001,57.970001,57.970001
-301401000,57.990002,57.990002,57.990002,57.990002
-301314600,57.91,57.91,57.91,57.91
-301228200,57.57,57.57,57.57,57.57
-301141800,57.5,57.5,57.5,57.5
-301055400,57.439999,57.439999,57.439999,57.439999
-300796200,57.16,57.16,57.16,57.16
-300709800,57.110001,57.110001,57.110001,57.110001
-300623400,57.279999,57.279999,57.279999,57.279999
-300537000,57.59,57.59,57.59,57.59
-300450600,57.68,57.68,57.68,57.68
-300191400,57.330002,57.330002,57.330002,57.330002
-300105000,56.939999,56.939999,56.939999,56.939999
-300018600,56.939999,56.939999,56.939999,56.939999
-299932200,56.919998,56.919998,56.919998,56.919998
-299845800,57.060001,57.060001,57.060001,57.060001
-299500200,57.02,57.02,57.02,57.02
-299413800,56.939999,56.939999,56.939999,56.939999
-299327400,57.240002,57.240002,57.240002,57.240002
-299241000,57.380001,57.380001,57.380001,57.380001
-298981800,56.869999,56.869999,56.869999,56.869999
-298895400,56.25,56.25,56.25,56.25
-298809000,56.099998,56.099998,56.099998,56.099998
-298722600,56.119999,56.119999,56.119999,56.119999
-298636200,56.049999,56.049999,56.049999,56.049999
-298377000,55.700001,55.700001,55.700001,55.700001
-298290600,55.700001,55.700001,55.700001,55.700001
-298204200,55.610001,55.610001,55.610001,55.610001
-298117800,55.099998,55.099998,55.099998,55.099998
-298031400,54.720001,54.720001,54.720001,54.720001
-297772200,54.18,54.18,54.18,54.18
-297685800,54.509998,54.509998,54.509998,54.509998
-297599400,54.169998,54.169998,54.169998,54.169998
-297513000,54.57,54.57,54.57,54.57
-297426600,55.509998,55.509998,55.509998,55.509998
-297167400,55.529999,55.529999,55.529999,55.529999
-297081000,55.040001,55.040001,55.040001,55.040001
-296994600,54.720001,54.720001,54.720001,54.720001
-296908200,54.889999,54.889999,54.889999,54.889999
-296821800,55.439999,55.439999,55.439999,55.439999
-296562600,55.52,55.52,55.52,55.52
-296476200,55.84,55.84,55.84,55.84
-296389800,56.07,56.07,56.07,56.07
-296303400,56.279999,56.279999,56.279999,56.279999
-296217000,56.66,56.66,56.66,56.66
-295957800,56.610001,56.610001,56.610001,56.610001
-295871400,56.720001,56.720001,56.720001,56.720001
-295785000,56.84,56.84,56.84,56.84
-295698600,56.810001,56.810001,56.810001,56.810001
-295612200,57.009998,57.009998,57.009998,57.009998
-295353000,57.189999,57.189999,57.189999,57.189999
-295266600,57.75,57.75,57.75,57.75
-295180200,58.07,58.07,58.07,58.07
-295093800,57.790001,57.790001,57.790001,57.790001
-295007400,57.599998,57.599998,57.599998,57.599998
-294748200,57.439999,57.439999,57.439999,57.439999
-294661800,56.84,56.84,56.84,56.84
-294575400,56.959999,56.959999,56.959999,56.959999
-294489000,57.09,57.09,57.09,57.09
-294402600,57,57,57,57
-294057000,56.490002,56.490002,56.490002,56.490002
-293970600,55.790001,55.790001,55.790001,55.790001
-293884200,55.740002,55.740002,55.740002,55.740002
-293797800,56.110001,56.110001,56.110001,56.110001
-293538600,55.720001,55.720001,55.720001,55.720001
-293452200,55.830002,55.830002,55.830002,55.830002
-293365800,55.439999,55.439999,55.439999,55.439999
-293279400,55.220001,55.220001,55.220001,55.220001
-293193000,55.110001,55.110001,55.110001,55.110001
-292933800,53.860001,53.860001,53.860001,53.860001
-292847400,54.009998,54.009998,54.009998,54.009998
-292761000,54.57,54.57,54.57,54.57
-292674600,54.360001,54.360001,54.360001,54.360001
-292588200,53.900002,53.900002,53.900002,53.900002
-292329000,53.060001,53.060001,53.060001,53.060001
-292242600,52.939999,52.939999,52.939999,52.939999
-292156200,52.48,52.48,52.48,52.48
-292069800,52.619999,52.619999,52.619999,52.619999
-291983400,53.52,53.52,53.52,53.52
-291724200,53.360001,53.360001,53.360001,53.360001
-291637800,52.990002,52.990002,52.990002,52.990002
-291551400,53.389999,53.389999,53.389999,53.389999
-291465000,53.720001,53.720001,53.720001,53.720001
-291378600,54.029999,54.029999,54.029999,54.029999
-291119400,54.139999,54.139999,54.139999,54.139999
-291033000,54.220001,54.220001,54.220001,54.220001
-290946600,54.150002,54.150002,54.150002,54.150002
-290860200,54.57,54.57,54.57,54.57
-290773800,54.860001,54.860001,54.860001,54.860001
-290514600,54.630001,54.630001,54.630001,54.630001
-290428200,54.349998,54.349998,54.349998,54.349998
-290341800,54.25,54.25,54.25,54.25
-290255400,53.860001,53.860001,53.860001,53.860001
-290169000,53.720001,53.720001,53.720001,53.720001
-289909800,52.700001,52.700001,52.700001,52.700001
-289823400,52.200001,52.200001,52.200001,52.200001
-289737000,53.049999,53.049999,53.049999,53.049999
-289650600,53.619999,53.619999,53.619999,53.619999
-289564200,53.41,53.41,53.41,53.41
-289301400,53.389999,53.389999,53.389999,53.389999
-289215000,53.939999,53.939999,53.939999,53.939999
-289128600,54.220001,54.220001,54.220001,54.220001
-289042200,54.43,54.43,54.43,54.43
-288955800,54.900002,54.900002,54.900002,54.900002
-288696600,55.110001,55.110001,55.110001,55.110001
-288523800,55.349998,55.349998,55.349998,55.349998
-288437400,56.43,56.43,56.43,56.43
-288351000,55.869999,55.869999,55.869999,55.869999
-288091800,55.59,55.59,55.59,55.59
-288005400,55.810001,55.810001,55.810001,55.810001
-287919000,55.700001,55.700001,55.700001,55.700001
-287832600,55.549999,55.549999,55.549999,55.549999
-287746200,55.82,55.82,55.82,55.82
-287487000,55.93,55.93,55.93,55.93
-287400600,55.720001,55.720001,55.720001,55.720001
-287314200,55.799999,55.799999,55.799999,55.799999
-287141400,56.130001,56.130001,56.130001,56.130001
-286882200,56.029999,56.029999,56.029999,56.029999
-286795800,55.830002,55.830002,55.830002,55.830002
-286709400,55.540001,55.540001,55.540001,55.540001
-286623000,55.299999,55.299999,55.299999,55.299999
-286536600,55.389999,55.389999,55.389999,55.389999
-286277400,55.310001,55.310001,55.310001,55.310001
-286191000,55.470001,55.470001,55.470001,55.470001
-286104600,56.02,56.02,56.02,56.02
-286018200,56.150002,56.150002,56.150002,56.150002
-285931800,56.650002,56.650002,56.650002,56.650002
-285672600,56.849998,56.849998,56.849998,56.849998
-285586200,56.880001,56.880001,56.880001,56.880001
-285499800,56.84,56.84,56.84,56.84
-285413400,56.68,56.68,56.68,56.68
-285327000,57.200001,57.200001,57.200001,57.200001
-285067800,57.130001,57.130001,57.130001,57.130001
-284981400,57.09,57.09,57.09,57.09
-284895000,57.549999,57.549999,57.549999,57.549999
-284808600,57.389999,57.389999,57.389999,57.389999
-284722200,57.439999,57.439999,57.439999,57.439999
-284376600,57.52,57.52,57.52,57.52
-284290200,57.779999,57.779999,57.779999,57.779999
-284203800,58.049999,58.049999,58.049999,58.049999
-284117400,58.110001,58.110001,58.110001,58.110001
-283771800,57.57,57.57,57.57,57.57
-283685400,58.360001,58.360001,58.360001,58.360001
-283599000,58.57,58.57,58.57,58.57
-283512600,58.400002,58.400002,58.400002,58.400002
-283253400,58.810001,58.810001,58.810001,58.810001
-283167000,58.970001,58.970001,58.970001,58.970001
-283080600,59.139999,59.139999,59.139999,59.139999
-282994200,59.32,59.32,59.32,59.32
-282907800,59.599998,59.599998,59.599998,59.599998
-282648600,59.580002,59.580002,59.580002,59.580002
-282562200,59.639999,59.639999,59.639999,59.639999
-282475800,59.68,59.68,59.68,59.68
-282389400,59.77,59.77,59.77,59.77
-282303000,59.959999,59.959999,59.959999,59.959999
-282043800,60.290001,60.290001,60.290001,60.290001
-281957400,60.450001,60.450001,60.450001,60.450001
-281871000,60.529999,60.529999,60.529999,60.529999
-281784600,60.619999,60.619999,60.619999,60.619999
-281698200,61.240002,61.240002,61.240002,61.240002
-281439000,61.970001,61.970001,61.970001,61.970001
-281352600,61.779999,61.779999,61.779999,61.779999
-281266200,61.900002,61.900002,61.900002,61.900002
-281179800,62.299999,62.299999,62.299999,62.299999
-281093400,62.220001,62.220001,62.220001,62.220001
-280834200,61.759998,61.759998,61.759998,61.759998
-280747800,61.650002,61.650002,61.650002,61.650002
-280661400,62.209999,62.209999,62.209999,62.209999
-280575000,62.02,62.02,62.02,62.02
-280488600,61.5,61.5,61.5,61.5
-280229400,61.139999,61.139999,61.139999,61.139999
-280143000,61.41,61.41,61.41,61.41
-280056600,61.919998,61.919998,61.919998,61.919998
-279970200,62.299999,62.299999,62.299999,62.299999
-279883800,62.099998,62.099998,62.099998,62.099998
-279624600,62.32,62.32,62.32,62.32
-279538200,62.360001,62.360001,62.360001,62.360001
-279365400,62.59,62.59,62.59,62.59
-279279000,62.84,62.84,62.84,62.84
-279019800,63.299999,63.299999,63.299999,63.299999
-278933400,63.439999,63.439999,63.439999,63.439999
-278847000,63.43,63.43,63.43,63.43
-278760600,63.849998,63.849998,63.849998,63.849998
-278674200,63.950001,63.950001,63.950001,63.950001
-278415000,64.050003,64.050003,64.050003,64.050003
-278328600,63.470001,63.470001,63.470001,63.470001
-278242200,63.439999,63.439999,63.439999,63.439999
-278155800,63.5,63.5,63.5,63.5
-278069400,63.48,63.48,63.48,63.48
-277810200,63.66,63.66,63.66,63.66
-277723800,63.380001,63.380001,63.380001,63.380001
-277637400,63.57,63.57,63.57,63.57
-277551000,64.209999,64.209999,64.209999,64.209999
-277464600,64,64,64,64
-277205400,64.860001,64.860001,64.860001,64.860001
-277119000,64.739998,64.739998,64.739998,64.739998
-277032600,64.699997,64.699997,64.699997,64.699997
-276946200,64.529999,64.529999,64.529999,64.529999
-276859800,64.419998,64.419998,64.419998,64.419998
-276600600,64.349998,64.349998,64.349998,64.349998
-276514200,64.379997,64.379997,64.379997,64.379997
-276427800,64.93,64.93,64.93,64.93
-276341400,65.059998,65.059998,65.059998,65.059998
-275995800,65.599998,65.599998,65.599998,65.599998
-275909400,65.660004,65.660004,65.660004,65.660004
-275823000,65.459999,65.459999,65.459999,65.459999
-275736600,65.610001,65.610001,65.610001,65.610001
-275650200,65.959999,65.959999,65.959999,65.959999
-275391000,66.529999,66.529999,66.529999,66.529999
-275304600,66.620003,66.620003,66.620003,66.620003
-275218200,66.309998,66.309998,66.309998,66.309998
-275131800,66.260002,66.260002,66.260002,66.260002
-275045400,66.370003,66.370003,66.370003,66.370003
-274786200,68.68,68.68,68.68,68.68
-274699800,66.199997,66.199997,66.199997,66.199997
-274613400,65.809998,65.809998,65.809998,65.809998
-274527000,65.82,65.82,65.82,65.82
-274440600,65.769997,65.769997,65.769997,65.769997
-274181400,64.400002,64.400002,64.400002,64.400002
-274095000,65.300003,65.300003,65.300003,65.300003
-274008600,65.550003,65.550003,65.550003,65.550003
-273922200,65.459999,65.459999,65.459999,65.459999
-273835800,65.309998,65.309998,65.309998,65.309998
-273580200,65.169998,65.169998,65.169998,65.169998
-273493800,65.639999,65.639999,65.639999,65.639999
-273407400,66.18,66.18,66.18,66.18
-273321000,66.440002,66.440002,66.440002,66.440002
-273234600,66.519997,66.519997,66.519997,66.519997
-272975400,66.410004,66.410004,66.410004,66.410004
-272889000,66.470001,66.470001,66.470001,66.470001
-272802600,66.410004,66.410004,66.410004,66.410004
-272716200,66.389999,66.389999,66.389999,66.389999
-272629800,66.5,66.5,66.5,66.5
-272370600,66.830002,66.830002,66.830002,66.830002
-272284200,67.080002,67.080002,67.080002,67.080002
-272197800,67.389999,67.389999,67.389999,67.389999
-272111400,66.989998,66.989998,66.989998,66.989998
-272025000,67.269997,67.269997,67.269997,67.269997
-271765800,66.849998,66.849998,66.849998,66.849998
-271679400,66.68,66.68,66.68,66.68
-271593000,66.260002,66.260002,66.260002,66.260002
-271506600,66.010002,66.010002,66.010002,66.010002
-271420200,66.43,66.43,66.43,66.43
-270988200,66.559998,66.559998,66.559998,66.559998
-270901800,66.559998,66.559998,66.559998,66.559998
-270815400,66.730003,66.730003,66.730003,66.730003
-270556200,67.080002,67.080002,67.080002,67.080002
-270469800,66.889999,66.889999,66.889999,66.889999
-270383400,65.639999,65.639999,65.639999,65.639999
-270297000,66.669998,66.669998,66.669998,66.669998
-270210600,66.660004,66.660004,66.660004,66.660004
-269951400,66.150002,66.150002,66.150002,66.150002
-269865000,65.800003,65.800003,65.800003,65.800003
-269778600,65.980003,65.980003,65.980003,65.980003
-269692200,65.690002,65.690002,65.690002,65.690002
-269605800,65.18,65.18,65.18,65.18
-269346600,64.580002,64.580002,64.580002,64.580002
-269260200,65.150002,65.150002,65.150002,65.150002
-269173800,65.139999,65.139999,65.139999,65.139999
-269087400,64.900002,64.900002,64.900002,64.900002
-269001000,65.160004,65.160004,65.160004,65.160004
-268741800,64.470001,64.470001,64.470001,64.470001
-268655400,64.470001,64.470001,64.470001,64.470001
-268569000,64.589996,64.589996,64.589996,64.589996
-268482600,64.519997,64.519997,64.519997,64.519997
-268396200,64.639999,64.639999,64.639999,64.639999
-268137000,65.209999,65.209999,65.209999,65.209999
-267964200,65.629997,65.629997,65.629997,65.629997
-267877800,65.809998,65.809998,65.809998,65.809998
-267791400,65.769997,65.769997,65.769997,65.769997
-267532200,65.709999,65.709999,65.709999,65.709999
-267445800,65.690002,65.690002,65.690002,65.690002
-267359400,65.32,65.32,65.32,65.32
-267273000,64.860001,64.860001,64.860001,64.860001
-267186600,65.279999,65.279999,65.279999,65.279999
-266927400,64.790001,64.790001,64.790001,64.790001
-266841000,64.410004,64.410004,64.410004,64.410004
-266754600,64.699997,64.699997,64.699997,64.699997
-266668200,64.709999,64.709999,64.709999,64.709999
-266581800,64.860001,64.860001,64.860001,64.860001
-266322600,64.870003,64.870003,64.870003,64.870003
-266236200,65.230003,65.230003,65.230003,65.230003
-266149800,65.839996,65.839996,65.839996,65.839996
-266063400,66.610001,66.610001,66.610001,66.610001
-265977000,66.709999,66.709999,66.709999,66.709999
-265717800,66.760002,66.760002,66.760002,66.760002
-265631400,67.370003,67.370003,67.370003,67.370003
-265545000,66.940002,66.940002,66.940002,66.940002
-265458600,67.290001,67.290001,67.290001,67.290001
-265372200,67.68,67.68,67.68,67.68
-265113000,67.669998,67.669998,67.669998,67.669998
-265026600,67.82,67.82,67.82,67.82
-264940200,67.739998,67.739998,67.739998,67.739998
-264853800,67.949997,67.949997,67.949997,67.949997
-264767400,68.059998,68.059998,68.059998,68.059998
-264508200,67.720001,67.720001,67.720001,67.720001
-264421800,67.550003,67.550003,67.550003,67.550003
-264335400,67.730003,67.730003,67.730003,67.730003
-264249000,68.110001,68.110001,68.110001,68.110001
-264162600,68.290001,68.290001,68.290001,68.290001
-263903400,68.43,68.43,68.43,68.43
-263817000,68.440002,68.440002,68.440002,68.440002
-263730600,67.980003,67.980003,67.980003,67.980003
-263644200,67.589996,67.589996,67.589996,67.589996
-263557800,67.669998,67.669998,67.669998,67.669998
-263298600,67.699997,67.699997,67.699997,67.699997
-263212200,67.550003,67.550003,67.550003,67.550003
-263125800,67.809998,67.809998,67.809998,67.809998
-263039400,68.07,68.07,68.07,68.07
-262953000,68.190002,68.190002,68.190002,68.190002
-262607400,67.959999,67.959999,67.959999,67.959999
-262521000,68.459999,68.459999,68.459999,68.459999
-262434600,68.349998,68.349998,68.349998,68.349998
-262348200,67.879997,67.879997,67.879997,67.879997
-262089000,67.279999,67.279999,67.279999,67.279999
-262002600,67.959999,67.959999,67.959999,67.959999
-261916200,68.010002,68.010002,68.010002,68.010002
-261829800,67.529999,67.529999,67.529999,67.529999
-261743400,67.650002,67.650002,67.650002,67.650002
-261484200,67.209999,67.209999,67.209999,67.209999
-261397800,66.080002,66.080002,66.080002,66.080002
-261311400,66.959999,66.959999,66.959999,66.959999
-261225000,66.989998,66.989998,66.989998,66.989998
