time,open,high,low,close
1609459200,28976.325,29095.2325,28757.765,29067.75
1609462800,29061.76,29527.73,29022.135,29472.105
1609466400,29476.1275,29519.9525,29158.395,29247.8175
1609470000,29250.2525,29406.855,29222.4025,29352.385
1609473600,29355.2375,29445.5675,29060.97,29281.725
1609477200,29282.1575,29290.73,29135.5025,29235.515
1609480800,29239.0525,29313.18,29159.4875,29224.8675
1609484400,29234.87,29242.37,28896.5775,29165.0225
1609488000,29165.2325,29240.1525,28941.755,29071.58
1609491600,29059.9075,29377.6075,29044.66,29281.98
1609495200,29278.1175,29398.8775,29235.635,29318.55
1609498800,29312.44,29475.0425,29300.5175,29390.17
1609502400,29385.23,29685.86,29241.955,29316.9625
1609506000,29312.88,29547.325,29299.0375,29538.6575
1609509600,29544.6725,29613.35,29351.7025,29398.455
1609513200,29395.4,29466.9,29100.1175,29257.215
1609516800,29262.7125,29434.51,29202.3,29379.685
1609520400,29377.9,29419.2525,29015.5025,29155.05
1609524000,29146.4225,29326.55,28697.7925,29137.105
1609527600,29136.115,29202.0875,29025.4775,29117.8475
1609531200,29103.8675,29353.235,28959.39,29295.7175
1609534800,29290.24,29376.47,29232.605,29249.2925
1609538400,29248.855,29400.4875,29198.58,29346.2075
1609542000,29353.705,29410.655,29313.6825,29404.035
1609545600,29406.05,29413.16,29040.885,29265.415
1609549200,29268.175,29489.4575,29182.2675,29447.645
1609552800,29453.38,29563.4375,29410.82,29418.23
1609556400,29419.1075,29461.5675,29343.48,29435.53
1609560000,29439.675,29469.7575,29307.4775,29443.125
1609563600,29440.88,29671.505,29434.72,29668.9375
1609567200,29674.3175,29820.425,29559.89,29790.9825
1609570800,29792.31,29885.3375,29722.9475,29837.945
1609574400,29838.295,29918.86,29722.06,29901.705
1609578000,29904.275,29965.1225,29619.7,29673.85
1609581600,29680.7,29884.1,29542.845,29750.18
1609585200,29746.4525,29839.65,29699.6275,29825.6075
1609588800,29825.885,30963.015,29808.785,30656.2175
1609592400,30657.655,31586.445,30571.8375,31585.145
1609596000,31586.4675,31611.8375,31123.5925,31341.6425
1609599600,31335.3825,31883.105,31182.635,31784.4
1609603200,31786,33084.81,31782.16,32546.4175
1609606800,32549.9075,33037.46,32468.5025,32942.0875
1609610400,32936.53,33235.41,32507.945,33010.45
1609614000,33010.0175,33275.3975,32674.7125,33086.2975
1609617600,33085.715,33117.83,30263.75,30675.145
1609621200,30716.05,31944.9875,30183.93,31711.2225
1609624800,31701.39,32310.8425,31454.445,32178.09
1609628400,32174.765,32267.9475,31635.0625,32223.72
1609632000,32213.8175,32519.91,31992.4175,32480.5425
1609635600,32466.3275,32820.4575,32253.32,32603.27
1609639200,32615.015,32908.0775,32598.9725,32759.225
1609642800,32771.83,32776.82,32475.975,32616.5825
1609646400,32609.6175,33267.0925,32488.06,33223.94
1609650000,33224.8425,34190.0475,33143.47,33746.6375
1609653600,33765.4775,34093.7625,33663.385,33984.2175
1609657200,33960.9125,34789.0725,33777.5425,34492.0775
1609660800,34491.2075,34676.4475,33749.7225,34393.5025
1609664400,34398.6325,34591.2625,33834.3425,34210.2375
1609668000,34220.7825,34366.025,33437.0825,33902.5025
1609671600,33889.565,34455.5075,33813.6375,34445.45
1609675200,34429.73,34606.4775,33986.1275,34140.8775
1609678800,34131.72,34405.195,33842.9125,33918.3025
1609682400,33912.2225,34192.6225,33539.13,33916.31
1609686000,33906.21,33951.9475,32858.2575,33566.6975
1609689600,33573.8875,33858.0125,32551.585,32632.575
1609693200,32619.8675,33254.225,32481.3275,32919.9175
1609696800,32948.3275,33042.9125,32281.115,32780.2925
1609700400,32774.3775,32919.435,32464.7225,32783.46
1609704000,32758.9625,33845.8025,32724.33,33744.33
1609707600,33742.0375,33865.445,33555.7975,33595.69
1609711200,33590.0825,33681.6175,33038.6025,33165.05
1609714800,33160.4875,33636.3375,32716.135,33096.3175
1609718400,33087.9125,33169.375,32452.985,32892.915
1609722000,32889.66,33357.3475,32644.61,33224.9325
1609725600,33217.7,33627.9525,33018.75,33515.2375
1609729200,33519.39,33604.5075,33226.08,33602.5175
1609732800,33596.505,33663.4375,33261.775,33334.6
1609736400,33348.7275,33386.03,32890.635,32894.555
1609740000,32910.4325,33480.0475,32903.3375,33272.94
1609743600,33274.435,33310.9075,31343.295,32128.07
1609747200,32149.665,32605.7,31367.445,32057.155
1609750800,32035.51,32128.5625,30240.6325,31007.435
1609754400,30994.8225,31196.3275,27741.085,30296.5175
1609758000,30288.07,30938.5575,29383.7025,30778.7375
1609761600,30779.225,31472.85,30472.45,31271.8225
1609765200,31260.7775,31435.1575,30601.9,31435.1575
1609768800,31443.4825,32195.7175,31440.4275,32170.3775
1609772400,32168.98,32245.5775,31592.2525,31785.04
1609776000,31766.0875,31922.7675,30721.805,31330.1175
1609779600,31341.465,31541.67,30618.315,31017.7625
1609783200,31013.58,31454.8575,30987.47,31183.1925
1609786800,31183.1475,31885.9125,31139.735,31691.46
1609790400,31693.4875,31858.4175,31238.5875,31276.105
1609794000,31274.295,31601.1575,30880.395,31040.7225
1609797600,31046.305,31497.17,30986.14,31373.485
1609801200,31378.295,32053.835,31184.8225,32028.2225
1609804800,32042.0275,32886.2125,32038.27,32464.8025
1609808400,32461.855,32818.025,32264.4525,32811.6375
1609812000,32814.45,32854.2425,32274.81,32352.4025
1609815600,32356.605,32585.7625,31179.115,31202.1275
1609819200,31207.1525,31585.2175,30434.85,30895.5775
1609822800,30883.46,31375.075,30025.54,30458.44
1609826400,30467.4425,31295.445,29913.0975,31150.11
